Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP,HRB/AVG,APP-GS,AB
"29 Leon, Andy",6.48,Jan-00,3.0,1.0,0,0-0,0,8.1,12,6,6,0,10,3,0,3,0.324,0,2,0,0,0,Columbia,"29 Leon, Andy",7.683467598352792,11.11111111111111,0.0,inf,-1.2034675983527912,1.2167217551223874,,,
"37 Hubble, Camron",6.1,0-0,6.0,0.0,0,0-0,0,10.1,13,7,7,6,7,4,0,2,0.333,1,0,0,0,2,Columbia,"37 Hubble, Camron",7.567344874969343,6.237623762376238,5.346534653465347,1.1666666666666667,-1.467344874969343,1.1005990317389385,,,
"28 Ogden, JD",4.2,0-2,7.0,1.0,0,0-0,1,15.0,15,8,7,12,7,2,0,0,0.273,1,0,0,0,1,Columbia,"28 Ogden, JD",6.063714511933039,4.2,7.2,0.5833333333333334,-1.863714511933039,-0.403031331297365,,,
"17 Palfrey, Griffin",1.29,Feb-00,5.0,1.0,0,0-0,0,7.0,6,1,1,1,10,2,0,1,0.25,1,1,0,0,1,Columbia,"17 Palfrey, Griffin",4.454190702409229,12.857142857142858,1.2857142857142858,10.0,-3.164190702409229,-2.012555140821175,,,
"36 Tucker, Justin",0.0,1-Jan,6.0,0.0,0,0-0,0,7.0,5,2,0,4,4,1,0,0,0.217,3,2,0,0,1,Columbia,"36 Tucker, Justin",6.025619273837801,5.142857142857143,5.142857142857143,1.0,-6.025619273837801,-0.441126569392603,,,
"29 Long, Will",40.5,0-0,2.0,0.0,0,0-0,0,1.1,3,7,6,3,1,0,1,0,0.6,2,3,0,1,1,Cornell,"29 Long, Will",19.142502390720917,8.181818181818182,24.545454545454543,0.33333333333333337,21.357497609279083,12.675756547490513,,,
"17 Stephens, William",19.29,0-0,1.0,0.0,0,0-0,0,2.1,6,5,5,1,0,1,0,0,0.545,1,1,0,2,0,Cornell,"17 Stephens, William",7.45419070240923,0.0,4.285714285714286,0.0,11.83580929759077,0.9874448591788259,,,
"23 Mack, Braden",16.2,1-Jan,4.0,0.0,0,0-0,0,6.2,18,15,12,5,5,3,2,2,0.474,0,0,0,1,0,Cornell,"23 Mack, Braden",9.597047845266372,7.258064516129032,7.258064516129032,1.0,6.602952154733627,3.130302002035968,,,
"34 Baker, Von",14.11,0-2,6.0,2.0,0,0-0,0,14.2,17,24,23,21,13,3,0,0,0.298,7,8,0,2,1,Cornell,"34 Baker, Von",8.892822493153696,8.23943661971831,13.309859154929578,0.6190476190476191,5.217177506846303,2.426076649923292,,,
"26 Clancy, Tom",20.25,0-0,2.0,0.0,0,0-0,0,1.1,3,7,3,3,1,0,0,0,0.375,3,2,1,0,0,Cornell,"26 Clancy, Tom",16.415229663448187,8.181818181818182,24.545454545454543,0.33333333333333337,3.834770336551813,9.948483820217783,,,
"28 Edwards, Spencer",11.45,4-Jan,5.0,5.0,0,0-0,0,22.0,26,33,28,17,18,5,1,5,0.289,1,6,0,2,1,Cornell,"28 Edwards, Spencer",9.051593299811827,7.363636363636363,6.954545454545454,1.0588235294117647,2.398406700188172,2.5848474565814232,,,
Totals,10.41,11-Mar,57.0,14.0,0,0,1,119.1,160,172,138,101,87,30,7,17,0.323,34,38,2,11,9,Cornell,Totals,8.492933655509866,6.574307304785894,7.632241813602016,0.8613861386138614,1.9170663444901344,2.0261878122794617,,,
"33 Cushing, Kevin",12.41,0-2,6.0,2.0,0,0-0,0,12.1,16,18,17,12,6,1,1,3,0.314,4,5,1,0,2,Cornell,"33 Cushing, Kevin",11.043328837001908,4.462809917355372,8.925619834710744,0.5,1.3666711629980917,4.576582993771504,,,
"20 Ellison, Chris",9.0,0-0,8.0,0.0,0,0-0,0,13.0,23,17,13,10,8,6,0,2,0.39,2,2,0,1,1,Cornell,"20 Ellison, Chris",8.13550938372791,5.538461538461538,6.923076923076923,0.7999999999999999,0.8644906162720893,1.6687635404975065,,,
"27 Gilbert, William",5.79,0-1,6.0,0.0,0,0-0,1,4.2,7,7,3,3,4,1,1,0,0.333,1,1,0,0,1,Cornell,"27 Gilbert, William",5.549428797647325,8.571428571428571,6.428571428571428,1.3333333333333335,0.24057120235267515,-0.9173170455830792,,,
"12 Yacinich, Luke",6.75,1-Jan,5.0,5.0,0,0-0,0,28.0,27,25,21,18,24,7,0,3,0.26,4,8,0,1,2,Cornell,"12 Yacinich, Luke",7.061333559552087,7.714285714285714,5.785714285714286,1.3333333333333335,-0.31133355955208675,0.5945877163216826,,,
Opponents,4.36,3-Nov,48.0,14.0,0,0,2,127.3,119,88,62,73,192,26,7,13,0.243,19,11,1,4,3,Cornell,Opponents,4.887699848408556,13.574234092694423,5.161036920659859,2.6301369863013697,-0.527699848408556,-1.5790459948218478,,,
"8 Alonso, Franco",7.11,0-0,6.0,0.0,0,0-0,0,6.1,8,6,5,4,2,2,0,1,0.333,4,1,0,1,0,Cornell,"8 Alonso, Franco",8.53147407477457,2.9508196721311477,5.901639344262295,0.5,-1.4214740747745696,2.0647282315441657,,,
"38 Porter, Ryan",4.05,0-0,6.0,0.0,0,0-0,0,6.2,6,8,3,4,5,1,1,1,0.214,5,1,0,0,0,Cornell,"38 Porter, Ryan",7.500273651717985,7.258064516129032,5.806451612903226,1.25,-3.4502736517179855,1.0335278084875812,,,
"25 Young, Jacob",36.0,0-0,3.0,0.0,0,0-0,0,1.0,6,4,4,1,0,1,0,0,0.75,0,0,0,1,0,Brown,"25 Young, Jacob",7.597047845266372,0.0,9.0,0.0,28.402952154733626,1.1303020020359682,,,
"23 Duncan, Sam",54.0,0-0,1.0,0.0,0,0-0,0,0.1,1,2,2,1,0,1,0,0,0.5,1,0,0,0,0,Brown,"23 Duncan, Sam",34.597047845266374,0.0,90.0,0.0,19.402952154733626,28.130302002035968,,,
"27 Seppings, Jack",9.0,0-0,4.0,0.0,0,0-0,0,6.0,8,6,6,2,11,4,1,0,0.308,3,1,0,0,0,Brown,"27 Seppings, Jack",2.430381178599706,16.5,3.0,5.5,6.569618821400294,-4.036364664630698,,,
"1 Beilenson, Charlie",9.64,0-1,4.0,0.0,0,0-0,1,4.2,7,6,5,4,4,3,0,0,0.368,3,0,0,1,1,Brown,"1 Beilenson, Charlie",5.549428797647325,8.571428571428571,8.571428571428571,1.0,4.090571202352676,-0.9173170455830792,,,
"18 Gottam, Santhosh",9.17,3-Jan,5.0,4.0,0,0-0,0,17.2,32,19,18,3,14,5,1,2,0.395,3,2,0,2,2,Brown,"18 Gottam, Santhosh",5.352861798754745,7.325581395348838,1.5697674418604652,4.666666666666667,3.817138201245255,-1.1138840444756593,,,
"9 Fogell, Zach",8.76,0-3,5.0,3.0,0,0-0,0,12.1,20,15,12,8,16,4,0,3,0.364,4,3,0,1,1,Brown,"9 Fogell, Zach",7.902832969233314,11.900826446280993,5.9504132231404965,2.0,0.8571670307666857,1.43608712600291,,,
Totals,5.58,11-Apr,49.0,15.0,1,0,2,122.2,133,89,76,55,116,29,5,8,0.274,27,15,1,5,8,Brown,Totals,5.268078941829383,8.543371522094926,4.050736497545008,2.109090909090909,0.31192105817061666,-1.1986669014010207,,,
"17 Kuntz, Ryan",9.82,0-0,3.0,0.0,0,0-0,0,3.2,4,4,4,5,0,0,1,0,0.308,0,1,0,0,0,Brown,"17 Kuntz, Ryan",10.222047845266372,0.0,14.0625,0.0,-0.40204784526637205,3.755302002035968,,,
Opponents,3.37,4-Nov,57.0,15.0,1,2,7,131.0,111,57,49,46,185,15,5,11,0.227,18,8,1,5,1,Brown,Opponents,4.100864639159502,12.709923664122137,3.1603053435114505,4.021739130434782,-0.7308646391595017,-2.3658812040709023,,,
"6 Lockhart, Gauge",6.75,0-2,4.0,0.0,0,0-0,0,4.0,7,6,3,5,2,0,0,0,0.368,2,1,0,0,0,Brown,"6 Lockhart, Gauge",8.097047845266372,4.5,11.25,0.4,-1.3470478452663723,1.6303020020359682,,,
"3 Olsen, Bobby",3.1,0-1,6.0,3.0,0,0-0,0,29.0,25,14,10,8,27,6,0,1,0.227,5,5,0,0,4,Brown,"3 Olsen, Bobby",4.528082328024993,8.379310344827585,2.4827586206896552,3.3749999999999996,-1.4280823280249932,-1.9386635152054108,,,
"36 Meyers, Paxton",3.37,Jan-00,7.0,0.0,0,0-0,1,10.2,4,4,4,5,14,1,1,1,0.114,2,1,1,0,0,Brown,"36 Meyers, Paxton",4.891165492325196,12.352941176470589,4.411764705882353,2.8,-1.5211654923251956,-1.5755803509052084,,,
"13 McDonough, Tobey",2.1,1-Feb,5.0,5.0,1,0-0,0,30.0,18,8,7,8,26,3,1,1,0.168,4,1,0,0,0,Brown,"13 McDonough, Tobey",4.197047845266372,7.8,2.4,3.25,-2.097047845266372,-2.269697997964032,,,
"12 Wilder, Joshua",2.7,0-0,2.0,0.0,0,0-0,0,3.1,1,1,1,5,2,1,0,0,0.091,0,0,0,0,0,Brown,"12 Wilder, Joshua",8.145434942040566,5.806451612903226,14.516129032258064,0.4,-5.445434942040566,1.6786890988101622,,,
"21 Zinn, Jaren",7.32,1-Feb,5.0,5.0,0,0-0,0,19.2,19,17,16,18,31,3,1,1,0.253,10,4,0,0,1,Harvard,"21 Zinn, Jaren",5.482464511933039,14.53125,8.4375,1.7222222222222223,1.837535488066961,-0.9842813312973648,,,
"28 Matson, Sean",4.34,1-Jan,5.0,2.0,0,0-0,0,18.2,18,9,9,7,25,3,1,2,0.25,4,1,0,0,0,Harvard,"28 Matson, Sean",4.597047845266372,12.362637362637363,3.4615384615384617,3.5714285714285716,-0.2570478452663725,-1.8696979979640318,,,
"17 Jordheim, Porter",9.95,0-0,5.0,0.0,0,0-0,0,6.1,6,7,7,9,5,0,0,1,0.286,1,2,0,2,0,Harvard,"17 Jordheim, Porter",10.498687189528667,7.3770491803278695,13.278688524590164,0.5555555555555556,-0.5486871895286676,4.031941346298263,,,
Opponents,3.63,11-Jul,71.0,18.0,1,2,2,160.3,158,90,65,61,164,41,1,10,0.255,13,17,1,4,6,Harvard,Opponents,4.821626759801619,9.207735495945101,3.4248284466625076,2.6885245901639343,-1.1916267598016193,-1.645119083428785,,,
"77 Williamson, Tim",5.18,1-Feb,5.0,5.0,0,0-1,0,24.1,19,14,14,16,21,5,1,2,0.207,2,4,1,1,0,Harvard,"77 Williamson, Tim",6.42277398634521,7.842323651452282,5.975103734439834,1.3125,-1.2427739863452105,-0.043971856885193894,,,
Totals,4.75,7-Nov,64.0,18.0,0,2,6,153.1,129,104,81,114,170,24,4,15,0.226,33,24,4,8,2,Harvard,Totals,6.354069399805889,9.99346832135859,6.701502286087525,1.4912280701754386,-1.6040693998058888,-0.11267644342451533,,,
"42 O'Connell, Joseph",13.5,0-0,2.0,0.0,0,0-0,0,2.0,4,3,3,2,0,0,0,1,0.4,0,1,0,0,0,Harvard,"42 O'Connell, Joseph",15.597047845266372,0.0,9.0,0.0,-2.0970478452663723,9.130302002035968,,,
"11 Jacobsen, Will",5.11,2-Jan,5.0,2.0,0,0-0,1,12.1,11,9,7,7,4,4,0,1,0.239,0,2,1,2,0,Harvard,"11 Jacobsen, Will",7.241675944439926,2.9752066115702482,5.206611570247934,0.5714285714285715,-2.131675944439926,0.774930101209522,,,
"33 Buckner, Ian",6.75,0-0,2.0,0.0,0,0-0,0,6.2,6,7,5,4,7,2,0,2,0.222,4,1,0,0,0,Harvard,"33 Buckner, Ian",8.95188655494379,10.161290322580644,5.806451612903226,1.7499999999999998,-2.2018865549437905,2.4851407117133864,,,
"23 Driver, Jay",0.0,0-0,7.0,0.0,0,0-2,3,12.0,4,0,0,3,20,1,0,0,0.105,3,1,0,1,0,Harvard,"23 Driver, Jay",2.263714511933039,15.0,2.25,6.666666666666667,-2.263714511933039,-4.203031331297366,,,
"30 Narottam, Uday",1.46,Jan-00,6.0,0.0,0,0-0,1,12.1,9,4,2,5,10,1,1,0,0.205,0,1,0,0,1,Harvard,"30 Narottam, Uday",4.431758589068025,7.43801652892562,3.71900826446281,2.0,-2.971758589068025,-2.0349872541623792,,,
"34 Clark, Chris",1.54,Jan-00,7.0,0.0,0,0-0,1,11.2,7,2,2,6,17,1,0,1,0.175,1,1,0,1,0,Harvard,"34 Clark, Chris",4.597047845266372,13.660714285714286,4.821428571428572,2.833333333333333,-3.0570478452663723,-1.8696979979640318,,,
"25 Stone, Adam",3.95,2-Jan,4.0,4.0,0,0-1,0,13.2,11,15,6,20,16,3,0,0,0.22,3,3,1,0,0,Harvard,"25 Stone, Adam",7.400078148296675,10.90909090909091,13.636363636363637,0.8,-3.450078148296675,0.933332305066271,,,
"50 Smith, Tanner",5.4,Feb-00,8.0,0.0,0,0-2,0,10.0,9,9,6,10,12,1,0,3,0.231,4,0,1,0,0,Harvard,"50 Smith, Tanner",9.097047845266372,10.8,9.0,1.2000000000000002,-3.697047845266372,2.630302002035968,,,
"13 Thomas, Pryor",13.5,0-0,2.0,0.0,0,0-0,0,2.2,6,8,4,5,0,0,0,1,0.429,1,2,0,1,0,Harvard,"13 Thomas, Pryor",20.051593299811827,0.0,20.454545454545453,0.0,-6.551593299811827,13.584847456581423,,,
"32 Mahala, Jack",0.0,0-0,1.0,0.0,0,0-0,0,1.0,0,0,0,2,2,0,0,0,0.0,0,1,0,0,0,Harvard,"32 Mahala, Jack",9.597047845266372,18.0,18.0,1.0,-9.597047845266372,3.130302002035968,,,
"28 Saladin, Chris",81.0,0-0,2.0,0.0,0,0-0,0,0.2,3,6,6,3,0,0,0,3,0.6,1,2,0,0,0,Yale,"28 Saladin, Chris",274.5970478452664,0.0,135.0,0.0,-193.5970478452664,268.130302002036,,,
"31 DeKay, Jamis",13.5,0-0,1.0,0.0,0,0-0,0,0.2,1,1,1,0,0,0,0,1,0.333,0,0,0,0,0,Yale,"31 DeKay, Jamis",69.59704784526637,0.0,0.0,,-56.097047845266374,63.13030200203597,,,
"20 Capell, Mark",4.7,Feb-00,3.0,0.0,0,0-1,1,7.2,3,4,4,8,10,0,0,2,0.13,0,0,0,0,2,Yale,"20 Capell, Mark",8.763714511933038,12.5,10.0,1.25,-4.063714511933038,2.2969686687026343,,,
"23 Cleary, Quinn",22.5,0-0,2.0,0.0,0,0-0,0,4.0,10,10,10,3,5,3,0,1,0.455,4,1,2,0,0,Yale,"23 Cleary, Quinn",8.347047845266372,11.25,6.75,1.6666666666666667,14.152952154733628,1.8803020020359682,,,
"40 Gibbs, Ben",3.37,0-0,2.0,0.0,0,0-0,0,2.2,4,2,1,0,4,1,0,1,0.333,0,1,0,0,0,Yale,"40 Gibbs, Ben",8.233411481630009,16.363636363636363,0.0,inf,-4.863411481630009,1.7666656383996049,,,
"34 Walsh, Mike",4.45,Mar-00,5.0,5.0,0,0-0,0,28.1,22,16,14,15,33,4,0,6,0.21,1,10,0,0,0,Yale,"34 Walsh, Mike",7.693133254519042,10.569395017793594,4.804270462633451,2.2,-3.2431332545190417,1.2263874112886377,,,
Totals,5.71,6-Nov,52.0,17.0,0,1,5,149.2,152,110,95,67,150,29,4,24,0.26,10,30,2,5,6,Yale,Totals,6.627878944462083,9.048257372654156,4.041554959785523,2.238805970149254,-0.9178789444620827,0.16113310123167857,,,
"18 Kipp, Grant",8.1,2-Feb,5.0,5.0,0,0-0,0,26.2,41,28,24,10,26,6,1,4,0.357,0,7,0,1,3,Yale,"18 Kipp, Grant",6.543612730762556,8.931297709923664,3.435114503816794,2.5999999999999996,1.5563872692374439,0.07686688753215165,,,
"22 Kelley, Mick",3.92,Jan-00,8.0,0.0,0,0-1,2,20.2,22,14,9,3,17,7,1,4,0.259,0,3,0,1,1,Yale,"22 Kelley, Mick",6.379226063088154,7.574257425742575,1.3366336633663367,5.666666666666667,-2.4592260630881544,-0.08751978014224981,,,
Opponents,5.39,11-Jun,75.0,17.0,0,3,0,152.0,149,110,91,73,147,27,3,14,0.252,26,17,2,8,5,Yale,Opponents,5.636521529476899,8.703947368421053,4.322368421052632,2.0136986301369864,-0.2465215294768992,-0.8302243137535052,,,
"9 Shaw, Colton",5.74,2-Jan,5.0,5.0,0,0-0,0,26.2,23,18,17,13,21,4,0,1,0.23,3,3,0,1,0,Yale,"9 Shaw, Colton",5.322238684961029,7.213740458015267,4.465648854961832,1.6153846153846154,0.4177613150389714,-1.1445071582693753,,,
"15 Klitenic, Clark",0.0,0-0,1.0,1.0,0,0-1,0,3.0,0,0,0,2,3,0,0,0,0.0,0,0,0,0,0,Yale,"15 Klitenic, Clark",4.597047845266372,9.0,6.0,1.5,-4.597047845266372,-1.8696979979640318,,,
"12 Gehri, Jake",0.0,0-0,1.0,0.0,0,0-0,0,0.2,1,0,0,0,0,0,0,0,0.333,0,0,0,0,0,Yale,"12 Gehri, Jake",4.597047845266372,0.0,0.0,,-4.597047845266372,-1.8696979979640318,,,
"13 Kessinger, Carter",2.35,0-0,7.0,0.0,0,0-0,0,7.2,5,3,2,6,11,1,1,0,0.179,0,1,0,1,0,Yale,"13 Kessinger, Carter",4.458158956377483,13.75,7.5,1.8333333333333333,-2.108158956377483,-2.008586886852921,,,
"21 Easterly, Reid",3.12,2-Jan,9.0,0.0,0,0-1,2,17.1,16,7,6,3,17,2,1,1,0.246,1,2,0,1,0,Yale,"21 Easterly, Reid",4.246170652283916,8.94736842105263,1.5789473684210524,5.666666666666666,-1.1261706522839159,-2.220575190946488,,,
"4 Chatfield, Jimmy",3.0,Jan-00,1.0,1.0,0,0-0,0,3.0,1,1,1,1,3,1,0,0,0.1,0,0,0,0,0,Yale,"4 Chatfield, Jimmy",3.5970478452663723,9.0,3.0,3.0,-0.5970478452663723,-2.869697997964032,,,
"Sarti, Edward",12.27,Feb-00,7.0,0.0,0,0/0,0,7.1,12,10,10,6,9,2,1,0,0.375,2,3,0,0,1,Penn,"Sarti, Edward",5.864653479069189,11.408450704225352,7.605633802816902,1.4999999999999998,6.40534652093081,-0.6020923641612148,0.375,,
"Beal, Nate",18.0,0-0,2.0,0.0,0,0/0,0,1.0,0,2,2,3,0,0,0,0,0.0,1,0,0,0,0,Penn,"Beal, Nate",13.597047845266372,0.0,27.0,0.0,4.402952154733628,7.130302002035968,0.0,,
"Millikan, Noah",9.45,1-Jan,4.0,1.0,0,0/0,0,6.2,5,7,7,5,7,1,0,0,0.208,0,5,1,0,0,Penn,"Millikan, Noah",7.177693006556694,10.161290322580644,7.258064516129032,1.4,2.272306993443305,0.7109471633262903,0.208,,
"Heintz, Danny",6.1,0-1,9.0,0.0,0,0/0,0,10.1,5,8,7,9,15,0,0,0,0.156,2,2,1,2,0,Penn,"Heintz, Danny",4.89407754823667,13.366336633663368,8.01980198019802,1.6666666666666667,1.20592245176333,-1.5726682949937345,0.156,,
Opponents,6.37,13-Jul,21.0,21.0,0,1-Jan,2,178.0,228,149,126,88,167,43,3,20,0.309,20,14,1,9,8,Penn,Opponents,5.900418631783227,8.4438202247191,4.449438202247191,1.8977272727272725,0.4695813682167733,-0.5663272114471773,20.309,,
"Eaise, Kevin",4.94,1-Jan,5.0,5.0,0,0/0,0,27.1,30,15,15,9,32,2,2,2,0.286,1,3,0,1,1,Penn,"Eaise, Kevin",4.523247107258992,10.62730627306273,2.988929889298893,3.555555555555556,0.416752892741008,-1.9434987359714118,2.286,,
"Tobin, Will",11.57,0-0,2.0,2.0,0,0/0,0,4.2,6,6,6,2,3,2,0,2,0.316,1,1,0,0,0,Penn,"Tobin, Will",11.501809750028276,6.428571428571428,4.285714285714286,1.5,0.06819024997172463,5.0350639067978715,2.316,,
"Dromboski, Ryan",9.0,0-0,3.0,0.0,0,0/0,0,2.0,3,2,2,4,3,2,0,0,0.333,0,1,0,0,0,Penn,"Dromboski, Ryan",9.097047845266372,13.5,18.0,0.75,-0.09704784526637233,2.630302002035968,0.333,,
"Zaffiro, Cole",3.44,Feb-00,6.0,3.0,0,0/0,0,18.1,15,7,7,7,23,4,0,0,0.231,2,2,0,1,0,Penn,"Zaffiro, Cole",3.547324088360295,11.43646408839779,3.480662983425414,3.2857142857142856,-0.10732408836029483,-2.9194217548701094,0.231,,
"Coady, Owen",2.7,Mar-00,6.0,2.0,0,0/0,0,26.2,17,8,8,9,37,4,0,0,0.181,2,2,0,1,0,Penn,"Coady, Owen",3.0321623490831664,12.709923664122138,3.0916030534351147,4.111111111111112,-0.3321623490831662,-3.4345834941472377,0.181,,
Totals,4.91,13-7,21.0,21.0,0,0/0,3,177.2,154,105,97,102,213,30,4,14,0.237,18,22,4,11,6,Penn,Totals,5.319395475063212,10.818284424379232,5.18058690744921,2.088235294117647,-0.40939547506321183,-1.1473503681671922,14.237,,
"Trop, Eli",0.0,0-0,1.0,0.0,0,0/0,0,1.0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,Penn,"Trop, Eli",0.5970478452663723,18.0,0.0,inf,-0.5970478452663723,-5.869697997964032,0.0,,
"Miller, Joe",4.76,1-Feb,5.0,4.0,0,0/0,0,28.1,27,17,15,17,35,7,1,3,0.252,4,1,0,3,0,Penn,"Miller, Joe",5.415553183344664,11.209964412811388,5.444839857651245,2.058823529411765,-0.6555531833446642,-1.0511926598857402,3.252,,
"DeVries, Seth",3.86,0-0,6.0,0.0,0,0/0,0,4.2,5,2,2,4,6,1,0,0,0.263,1,0,0,1,0,Penn,"DeVries, Seth",4.597047845266372,12.857142857142856,8.571428571428571,1.5,-0.7370478452663725,-1.8696979979640318,0.263,,
"Ozmer, Carson",8.1,0-0,3.0,0.0,0,0/0,0,3.1,4,3,3,3,4,1,0,1,0.333,0,0,0,0,0,Penn,"Ozmer, Carson",9.113176877524436,11.612903225806452,8.709677419354838,1.3333333333333335,-1.0131768775244367,2.6464310342940323,1.333,,
"Bennett, Sam",2.0,0-1,7.0,0.0,0,0/0,0,9.0,6,2,2,6,9,1,0,0,0.002,0,0,1,0,2,Penn,"Bennett, Sam",4.597047845266372,9.0,6.0,1.5,-2.5970478452663723,-1.8696979979640318,0.2,,
"Mangene, Bryce",5.19,Jan-00,4.0,2.0,0,0/0,0,8.2,4,6,5,5,7,2,0,2,0.133,0,1,1,0,0,Penn,"Mangene, Bryce",8.255584430632226,7.682926829268293,5.487804878048781,1.4,-3.0655844306322253,1.7888385874018216,2.133,,
"Shoemaker, David",1.42,0-0,8.0,0.0,0,0/0,0,6.1,3,1,1,4,6,0,0,0,0.158,0,0,0,0,2,Penn,"Shoemaker, David",4.597047845266372,8.852459016393443,5.901639344262295,1.5,-3.1770478452663724,-1.8696979979640318,0.158,,
"Zeldin, Brian",1.69,0-0,2.0,2.0,0,0/0,0,5.1,3,3,1,5,6,1,0,0,0.015,0,1,0,0,0,Penn,"Zeldin, Brian",5.773518433501667,10.588235294117649,8.823529411764707,1.2000000000000002,-4.083518433501666,-0.6932274097287374,0.15,,
"Bean, Brendan",5.4,2-Jan,7.0,0.0,0,0/0,3,6.2,9,6,4,4,9,0,0,4,0.321,2,0,0,2,0,Penn,"Bean, Brendan",12.01640268397605,13.064516129032258,5.806451612903226,2.25,-6.61640268397605,5.549656840745646,4.321,,
"Gabrielson, Keith",19.29,0-0,,,0,0/0,0,2.1,5,5,5,3,1,3,0,0,0.417,0,0,0,0,0,Princeton,"Gabrielson, Keith",7.930381178599705,4.285714285714286,12.857142857142856,0.33333333333333337,11.359618821400293,1.4636353353693012,,Mar-00,12.0
"Chmielewski, Tom",9.0,3-Jan,,,0,0/0,0,23.0,41,29,23,8,18,9,0,2,0.376,2,2,0,4,3,Princeton,"Chmielewski, Tom",5.466613062657677,7.043478260869565,3.130434782608696,2.25,3.533386937342323,-1.0001327805727271,,5-May,109.0
"Rabin, Reece",13.09,0-3,,,0,0/0,0,11.0,21,21,16,7,6,6,0,3,0.396,1,3,0,0,3,Princeton,"Rabin, Reece",9.778866027084554,4.909090909090909,5.7272727272727275,0.8571428571428571,3.311133972915446,3.31212018385415,,2-May,53.0
"MacDonald, Caden",4.76,0-1,,,0,0/0,0,5.2,8,3,3,0,3,1,0,0,0.333,0,1,0,1,0,Princeton,"MacDonald, Caden",4.020124768343296,5.1923076923076925,0.0,inf,0.7398752316567041,-2.4466210748871084,,Jul-00,24.0
"Jarvis, Patrick",9.53,0-0,,,0,0/0,1,11.1,11,13,12,10,12,3,0,2,0.234,2,5,0,0,0,Princeton,"Jarvis, Patrick",8.831282079500607,9.72972972972973,8.108108108108109,1.2,0.6987179204993925,2.3645362362702027,,Jun-00,47.0
